,Cash,Australian Short Duration Bond,Australian Fixed Income,Global Fixed Income (Hedged),Global Credit (Hedged),Australian Listed Equity,Global Listed Equity (Unhedged),Global Listed Equity (Hedged),Australian Listed Property,Global Infrastructure (Unhedged),Global Private Equity
Jan 2006,0.0047899630,0.0046846810,0.0016531900,0.0003023000,0.0002472340,0.0355675730,0.0480241580,0.0365601730,-0.0117169470,0.0139854540,-0.0076083970
Feb 2006,0.0043051980,0.0039936600,0.0057107970,0.0036577240,0.0037075940,0.0058019440,-0.0024166560,0.0043456900,0.0349629850,0.0354100860,0.0324683030
Mar 2006,0.0047400610,0.0004842040,0.0011376190,-0.0085817770,-0.0108354370,0.0477110100,0.0191005650,0.0257270620,-0.0044114560,0.0184989800,0.0590808100
Apr 2006,0.0044220170,0.0043393160,-0.0055829960,-0.0024787230,-0.0023650960,0.0260244370,0.0301709690,0.0128431620,-0.0018141290,-0.0315881200,-0.0845018880
May 2006,0.0048364040,0.0033063300,0.0039850280,0.0036515510,0.0024330900,-0.0473595220,-0.0420968550,-0.0454819780,-0.0147465900,0.0013904680,-0.0540580320
Jun 2006,0.0048047430,0.0027631290,0.0017347580,0.0003674180,-0.0006223550,0.0204044660,-0.0020382950,0.0059474590,0.0616724840,0.0164135810,0.0132755120
Jul 2006,0.0048233420,0.0070734900,0.0008130800,0.0119643830,0.0130775940,-0.0168118410,0.0057869650,0.0078945730,0.0257591490,-0.0223104690,-0.0215067910
Aug 2006,0.0052260200,0.0057753490,0.0105641900,0.0155052210,0.0154905340,0.0334289830,0.0237838840,0.0273563310,0.0382345540,0.0246192370,0.0400873880
Sep 2006,0.0051087470,0.0021171540,0.0084021770,0.0078351940,0.0087167070,0.0131123200,0.0110296330,0.0198441810,0.0384816330,0.0275318280,0.0498669640
Oct 2006,0.0050647910,0.0061080780,-0.0018520530,0.0059638590,0.0074411910,0.0471357890,0.0358491130,0.0315122340,0.0093362420,0.0106367060,0.0091350870
Nov 2006,0.0051574640,0.0034907400,0.0075665560,0.0093147440,0.0104241120,0.0237056630,0.0262576410,0.0167077760,0.0540178890,0.0135148180,-0.0056423990
Dec 2006,0.0053361920,0.0061681410,-0.0030351490,-0.0040002400,-0.0058362320,0.0367053300,0.0212516080,0.0287628000,0.0715558580,0.0176390190,0.0352950660
Jan 2007,0.0054831370,0.0066576050,0.0046786230,0.0003939010,0.0001185960,0.0188658650,0.0094737420,0.0179439610,0.0237053670,0.0271878580,0.0506084150
Feb 2007,0.0049201130,0.0022182250,0.0119679070,0.0131575330,0.0164235740,0.0162039460,-0.0074319190,-0.0104574850,-0.0053370700,0.0022743550,-0.0048797980
Mar 2007,0.0052352330,0.0069959770,-0.0026553470,0.0005400790,-0.0022166480,0.0330245370,0.0168333610,0.0173986830,-0.0404545990,-0.0005955230,-0.0120255130
Apr 2007,0.0054750450,0.0042302040,0.0069177620,0.0040177210,0.0047939200,0.0299890260,0.0417629670,0.0360892740,0.0337121060,0.0003636400,-0.0095379060
May 2007,0.0054015720,0.0025863700,0.0004868730,-0.0059694400,-0.0067492870,0.0264260060,0.0269064080,0.0361967180,0.0417431060,0.0066708110,0.0347446470
Jun 2007,0.0051844660,0.0043791670,-0.0045044710,-0.0027195960,-0.0037490480,-0.0011312680,-0.0050744840,-0.0034216010,-0.0477690750,-0.0650427930,-0.0525750740
Jul 2007,0.0052519690,0.0052588600,0.0066897960,0.0108602400,0.0058211320,-0.0204187830,-0.0161848250,-0.0219325160,-0.0464870680,-0.0273191460,-0.0614414310
Aug 2007,0.0053072130,0.0039316490,0.0085808410,0.0127992690,0.0091780660,0.0222168490,-0.0041320190,-0.0006952850,0.0780990200,0.0473418950,0.0211055280
Sep 2007,0.0057263150,0.0014100140,-0.0004846590,0.0052868860,0.0056768810,0.0558148310,0.0496611090,0.0339003180,0.0231511530,-0.0467348860,-0.0962446820
Oct 2007,0.0057301060,0.0019396330,-0.0003934390,0.0095630740,0.0109440700,0.0294207020,0.0370243060,0.0293145710,-0.0044751340,-0.0057286360,-0.0277823320
Nov 2007,0.0055706320,0.0054732010,0.0045609590,0.0132728930,0.0054127970,-0.0289233000,-0.0446280600,-0.0457758830,-0.0642245840,0.0508752410,-0.0289916290
Dec 2007,0.0060303140,0.0077903600,-0.0016122650,0.0033600270,0.0031735240,-0.0263537670,-0.0111515870,-0.0042223240,-0.0664715830,-0.0002759760,-0.0635772560
Jan 2008,0.0059688000,-0.0027792730,0.0122215050,0.0180344020,0.0125409560,-0.1099700740,-0.0823496980,-0.0851905310,-0.1432608920,-0.0612087730,-0.1249514200
Feb 2008,0.0054136150,0.0091551440,-0.0061602230,0.0059943540,0.0022874360,-0.0066630100,0.0006554330,-0.0051365150,-0.0558319640,-0.0513135110,-0.0226586970
Mar 2008,0.0066605000,0.0062119650,0.0160309720,0.0030467020,-0.0070136380,-0.0341957260,-0.0161021810,-0.0209594640,-0.0004138150,0.0101332880,-0.0420848820
Apr 2008,0.0065321950,0.0051094790,0.0001525250,-0.0013888500,0.0078479740,0.0451208760,0.0521760840,0.0640110490,0.0418351750,0.0056087770,0.0178489080
May 2008,0.0065591530,0.0043961660,0.0010897720,-0.0050768400,-0.0036709490,0.0171034480,0.0113888010,0.0197072240,-0.0890501080,0.0145900220,-0.0034688700
Jun 2008,0.0062893620,0.0138449900,0.0028764340,0.0008136060,-0.0036286500,-0.0756611750,-0.0840110520,-0.0811533320,-0.1130426100,-0.0504145600,-0.1395793380
Jul 2008,0.0066784410,0.0143459710,0.0178750430,0.0119770540,0.0074518150,-0.0469467370,-0.0258672210,-0.0177019570,-0.0494096150,0.0116557310,0.0280354600
Aug 2008,0.0066788480,-0.0021592300,0.0216251570,0.0147268700,0.0126800510,0.0403810120,-0.0228149100,0.0072635190,0.0997265810,0.0922866180,0.1347153310
Sep 2008,0.0058613010,0.0210250810,0.0128498840,-0.0064609990,-0.0488769290,-0.0993927140,-0.1259155180,-0.1150154660,-0.0592970800,-0.0214994500,-0.0360734350
Oct 2008,0.0071439930,0.0169191420,0.0200800800,-0.0080699170,-0.0453836830,-0.1288352870,-0.1970655630,-0.1964803270,-0.2537037880,0.0657503850,-0.1266832010
Nov 2008,0.0054467400,0.0071060270,0.0296020640,0.0304570800,0.0287304180,-0.0629526380,-0.0677258590,-0.0563605930,-0.0014864310,-0.0125777190,-0.2439619820
Dec 2008,0.0042569740,0.0146673900,0.0124798840,0.0254266780,0.0332196610,-0.0013705720,0.0340384700,0.0145025140,-0.1040469450,-0.0610451410,-0.1618978640
Jan 2009,0.0040056950,-0.0017483410,0.0140671000,-0.0061629590,-0.0002276220,-0.0483981290,-0.0851891130,-0.0700829290,-0.0960458330,0.0482805470,-0.0127819860
Feb 2009,0.0029100920,-0.0038522430,-0.0122805910,0.0020999450,-0.0079685810,-0.0455987980,-0.1015262750,-0.0812161310,-0.1637315080,-0.1054010230,-0.1884428940
Mar 2009,0.0026290340,0.0068582150,0.0011525840,0.0105276080,0.0024671520,0.0806977700,0.0770347270,0.0644854190,0.0039574710,-0.0776384180,0.0004709270
